,Application/Permit Number,Address,Description,Category,Action Type,Value,Application Date,Issue Date,Final Date,Expiration Date,Status,Latitude,Longitude,Location
2264,6373481,111 17TH AVE,"Establish use as a townhome and construct (7)-unit townhomes with no parking, and occupy, per plan.",MULTIFAMILY,NEW,1252863.0,2013-11-12,2014-03-03,2014-10-24,2015-09-03,Permit Closed,47.60204123,-122.31047240000002,"111 17TH AVE
(47.60204123, -122.3104724)"
2343,6473211,450 ALASKAN WAY S,"Construct a new office and retail building with below grade parking, and occupy per plan.",COMMERCIAL,NEW,38524043.0,2015-11-12,2016-06-15,2017-08-16,2017-12-15,Cert of Occupancy Authorized,47.59867342,-122.3352065,"450 ALASKAN WAY S
(47.59867342, -122.33520646)"
2404,6148655,505 MADISON ST,"Shoring and Excavation only for construction of a high-rise/ office, retail and below grade parking structure.",COMMERCIAL,NEW,7000000.0,2007-11-06,2013-05-17,2017-10-30,2017-11-17,Permit Closed,47.606478499999994,-122.33136470000001,"505 MADISON ST
(47.6064785, -122.3313647)"
2462,6355489,4700 38TH AVE SW,"Establish use as public facility and construct ""Battalion Fire Station #32"" and occupy per plan.",COMMERCIAL,NEW,10100000.0,2014-11-12,2016-02-05,2017-08-11,2019-02-05,Permit Closed,47.56082621,-122.37965870000001,"4700 38TH AVE SW
(47.56082621, -122.37965874)"
2533,6342717,1301 WESTERN AVE,"Remove existing surface parking lot and construct mixed use building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,32360177.0,2014-06-30,2015-02-11,2017-03-08,2018-02-11,Permit Closed,47.60649933,-122.3399674,"1301 WESTERN AVE
(47.60649933, -122.33996735)"
2574,6352828,2203 E UNION ST,"Establish uses as multifamily residence and restaurant. Construct mixed use building with below grade parking, and occupy per plan.",COMMERCIAL,NEW,12074956.0,2013-06-21,2014-04-15,2016-02-23,2017-03-15,Permit Closed,47.61273006,-122.3028953,"2203 E UNION ST
(47.61273006, -122.30289527)"
2614,6257754,12517 33RD AVE NE,Establish use as and construct new 4-story mixed used building and occupy per plan.,MULTIFAMILY,NEW,2264568.0,2012-09-28,2014-02-07,2015-01-20,2015-08-07,Permit Closed,47.71986382,-122.29298259999999,"12517 33RD AVE NE
(47.71986382, -122.2929826)"
2797,6414455,103 M L KING JR WAY,"Establish use as and construct new five unit row house, per plan.",MULTIFAMILY,NEW,1094309.0,2015-02-09,2016-02-12,2017-06-28,2017-08-12,Permit Finaled,47.60180895,-122.297002,"103 M L KING JR WAY
(47.60180895, -122.29700204)"
2835,6332903,8727 PHINNEY AVE N,"Establish use as and construct a multifamily residence, occupy per plan",MULTIFAMILY,NEW,1399632.0,2013-02-27,2013-11-12,2015-07-15,2016-11-12,Permit Closed,47.69321735,-122.35414140000002,"8727 PHINNEY AVE N
(47.69321735, -122.35414135)"
2886,6445991,2424 SW ANDOVER ST,"Construct new office building accessory to existing factory building, occupy per plan.",INDUSTRIAL,NEW,1778616.0,2015-12-07,2016-09-29,2018-01-25,2018-03-29,Permit Closed,47.56881722,-122.36591299999999,"2424 SW ANDOVER ST
(47.56881722, -122.36591301)"
3072,6459262,350 1ST AVE W,"Construct mixed use residential, (4) live-work, and commercial building with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,10836537.0,2015-08-05,2016-03-04,2017-09-28,2019-03-04,Permit Closed,47.62192794,-122.3576693,"350 1ST AVE W
(47.62192794, -122.35766931)"
3274,6372508,1823 18TH AVE,"Construction of an apartment building with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,3193802.0,2013-08-13,2014-07-23,2016-09-08,2016-01-23,Cert of Occupancy Authorized,47.61834052,-122.30917340000002,"1823 18TH AVE
(47.61834052, -122.30917341)"
3350,6415156,5895 LAKE WASHINGTON BLVD S,"Remove existing and install new 2.65 million gallon underground storage tank and facilities vault, above ground parking, pedestrian path and tennis courts for SPU, per plan.",COMMERCIAL,NEW,3500000.0,2014-06-02,2014-11-13,2017-05-08,2017-11-13,Permit Closed,47.54975322,-122.25769109999999,"5895 LAKE WASHINGTON BLVD S
(47.54975322, -122.2576911)"
3497,6372434,3613 4TH AVE S,"Alterations to remove existing loading dock and construct new loading dock including site improvements, per plan",INDUSTRIAL,NEW,1040125.0,2013-09-05,2013-12-24,2015-11-19,2015-06-24,Permit Closed,47.57070622,-122.3301196,"3613 4TH AVE S
(47.57070622, -122.33011958)"
3567,6338150,301 VALLEY ST,"Construct new (north) 8-unit town house with underground parking and occupy, per plan.(Establish use and construct as (3) townhouses/review and processing of 3 AP's under 6338150)",MULTIFAMILY,NEW,1866445.0,2014-04-16,2015-02-07,2017-02-10,2018-02-07,Permit Closed,47.62615808,-122.35131170000001,"301 VALLEY ST
(47.62615808, -122.35131165)"
3809,6524354,14315 STONE AVE N,"Establish use as rowhouses and construct 7-unit townhouse structure, per plan.",MULTIFAMILY,NEW,1457948.0,2016-07-27,2017-04-09,2017-12-21,2018-10-09,Permit Finaled,47.732944399999994,-122.34265819999999,"14315 STONE AVE N
(47.7329444, -122.34265824)"
3826,6405410,1516 NW 51ST ST,"Construction of residential building including (1) live-work unit and parking at grade and occupy, per plan.",COMMERCIAL,NEW,8274511.0,2014-08-27,2015-03-26,2016-07-26,2016-09-26,Cert of Occupancy Authorized,47.66601132,-122.3772692,"1516 NW 51ST ST
(47.66601132, -122.37726918)"
3833,6369916,223 W GALER ST,"Phased project: Construction of a new assisted living and retail building with below grade parking, and occupy per plan.",MULTIFAMILY,NEW,5400136.0,2013-07-31,2014-04-01,2015-07-17,2015-10-01,Permit Closed,47.63204687,-122.3601297,"223 W GALER ST
(47.63204687, -122.36012973)"
4063,6482726,111 21ST AVE E,"Establish use as efficiency dwelling units and construct an apartment building, occupy per plans.",MULTIFAMILY,NEW,3710000.0,2015-09-02,2016-06-10,2018-02-07,2019-06-10,Cert of Occupancy Authorized,47.61889103,-122.3050767,"111 21ST AVE E
(47.61889103, -122.30507666)"
4221,6424483,218 OCCIDENTAL AVE S,"Construct a new office building with ground floor retail and below grade parking, and occupy per plan.",COMMERCIAL,NEW,37237341.0,2014-11-18,2015-03-09,2016-11-03,2018-03-09,Permit Closed,47.60039583,-122.33248859999999,"218 OCCIDENTAL AVE S
(47.60039583, -122.33248858)"
4256,6338392,4717 BROOKLYN AVE NE,"Construction of a residential and retail building with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,7933490.0,2013-08-31,2014-06-07,2015-10-19,2015-12-07,Permit Closed,47.66366765,-122.3145098,"4717 BROOKLYN AVE NE
(47.66366765, -122.31450978)"
4297,6446933,4528 44TH AVE SW,"Establish use as and construct new multifamily structure (small efficiency dwelling units), and occupy per plan.",MULTIFAMILY,NEW,3053272.0,2015-11-09,2016-04-26,2017-08-30,2017-10-26,Permit Closed,47.56204949,-122.38777150000001,"4528 44TH AVE SW
(47.56204949, -122.38777147)"
4301,6305188,2014 NW 57TH ST,Construct apartment building with small 1st floor retail and occupy per plan.,COMMERCIAL,NEW,4505285.0,2012-09-10,2013-08-29,2015-01-08,2015-02-28,Permit Closed,47.67040625,-122.3827844,"2014 NW 57TH ST
(47.67040625, -122.38278439)"
4336,6254208,500 FAIRVIEW AVE N,"Phased project:  Construction of a laboratory and office building with below grade parking and occupy, per plan (includes tie-in into the existing structure at 530 Fairview Ave N under associated AP 6357057)",COMMERCIAL,NEW,25246187.0,2013-06-25,2014-07-29,2015-12-23,2016-01-29,Permit Closed,47.62345613,-122.3340971,"500 FAIRVIEW AVE N
(47.62345613, -122.33409713)"
4719,6337152,3800 SW FINDLAY ST,"Substantial alterations & addition to existing elementary school ""Fairmount Park"" & occupy per plan to include mechanical.",INSTITUTIONAL,NEW,4000000.0,2013-02-15,2013-06-17,2014-09-29,2014-12-17,Permit Closed,47.55257901,-122.3802058,"3800 SW FINDLAY ST
(47.55257901, -122.38020583)"
4889,6369367,4710 11TH AVE NE,"Establish use and construct mixed use building with apartments, retail, and limited parking garage, and occupy per plan.",COMMERCIAL,NEW,3920887.0,2014-03-18,2014-09-15,2016-02-03,2016-03-15,Permit Closed,47.6634884,-122.3161243,"4710 11TH AVE NE
(47.6634884, -122.31612425)"
4906,6443916,450 3RD AVE W,"Shoring and Excavation for construction of an office building with below grade parking, per plan. SSPTD issued KSD 4-29-15.",COMMERCIAL,NEW,2200000.0,2015-01-29,2015-07-01,2016-08-30,2017-01-01,Permit Closed,47.62267378,-122.36041670000002,"450 3RD AVE W
(47.62267378, -122.36041667)"
5282,6371868,101 DENNY WAY,"Establish use as eating and drinking establishment and apartments and construct new mixed-use structure, occupy per plan.",MULTIFAMILY,NEW,3968038.0,2014-12-31,2015-05-28,2017-02-17,2018-04-28,Permit Closed,47.6184506,-122.3547689,"101 DENNY WAY
(47.6184506, -122.35476894)"
5412,6336739,600 E PIKE ST,"Phased project: Construction of a residential and retail building with below grade parking, and occupy per MUP 3014172 and per plans.",MULTIFAMILY,NEW,39372941.0,2013-09-05,2014-04-14,2016-03-03,2017-04-14,Permit Closed,47.61445461,-122.3241936,"600 E PIKE ST
(47.61445461, -122.32419357)"
5761,6283699,1811 20TH AVE,"Establish use as office, (2) live/work and boarding house. Construct mixed use building and occupy per plan.",COMMERCIAL,NEW,1705889.0,2011-11-07,2013-10-07,2017-03-30,2018-04-07,Cert of Occupancy Authorized,47.61803417,-122.30642240000002,"1811 20TH AVE
(47.61803417, -122.3064224)"
6052,6489404,8755 PHINNEY AVE N,"Establish use as rowhouses and construct townhouse building, per plans.",MULTIFAMILY,NEW,1427490.0,2016-04-14,2016-12-22,2018-02-20,2018-06-22,Permit Finaled,47.6939539,-122.35426159999999,"8755 PHINNEY AVE N
(47.6939539, -122.35426157)"
6107,6419979,4467 WHITMAN AVE N,"Construct eight-unit residential rowhouse structure with six attached garages, per plan. (Demolition under A/P #'s: 6437349 and 6437350).",MULTIFAMILY,NEW,1607883.0,2014-09-22,2015-02-28,2016-02-09,2016-08-28,Permit Finaled,47.66113035,-122.34598419999999,"4467 WHITMAN AVE N
(47.66113035, -122.34598421)"
6268,6467329,13018 20TH AVE NE,"Grading, utilities, and site improvements on the Olympic Hills Elementary School site, per plan.",INSTITUTIONAL,NEW,2750000.0,2015-05-28,2015-07-25,2017-07-11,2018-07-25,Permit Closed,47.72369199,-122.3067701,"13018 20TH AVE NE
(47.72369199, -122.30677006)"
6444,6499097,6902 31ST AVE SW,"Construct new 5-unit townhouse structure (Building 2), per plan. (Construct eight new townhouse structures/Review and processing for 8 AP's under #6484730)",MULTIFAMILY,NEW,1114986.0,2015-10-14,2016-11-15,2017-06-21,2018-05-15,Permit Closed,47.54078431,-122.371498,"6902 31ST AVE SW
(47.54078431, -122.37149803)"
6498,6306279,400 BOREN AVE N,"Construction of a residential building with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,36678888.0,2013-03-19,2013-12-06,2016-03-30,2016-12-06,Permit Closed,47.62221174,-122.3355992,"400 BOREN AVE N
(47.62221174, -122.33559922)"
6530,6415053,6559 35TH AVE NE,"Substantial alteration to existing north side retirement home with new addition and occupy all, per plans.",MULTIFAMILY,NEW,1377173.0,2014-06-19,2016-01-06,2016-11-02,2017-07-06,Permit Closed,47.67724011,-122.291275,"6559 35TH AVE NE
(47.67724011, -122.29127498)"
6822,6308980,400 FAIRVIEW AVE N,"Phased project: Construction of an office and retail building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,91249017.0,2013-03-12,2013-12-26,2017-07-10,2016-12-26,Permit Closed,47.62251637,-122.3339166,"400 FAIRVIEW AVE N
(47.62251637, -122.33391663)"
7084,6428901,3810 CALIFORNIA AVE SW,"Construct six unit townhouse with on-site parking for 26 vehicles (building 4) and occupy, per plans.",COMMERCIAL,NEW,1223915.0,2014-11-06,2015-05-28,2017-10-03,2018-05-28,Permit Closed,47.56974742,-122.3862476,"3810 CALIFORNIA AVE SW
(47.56974742, -122.38624755)"
7644,6397513,219 1ST AVE N,"Construct mixed use apartment and commercial building, per plan.",COMMERCIAL,NEW,4133308.0,2015-09-15,2016-04-12,2017-08-03,2017-10-12,Permit Closed,47.62041964,-122.35567749999998,"219 1ST AVE N
(47.62041964, -122.35567747)"
7702,6415654,1903 YALE PL E,"Construction of (1) live-work and residential building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,5006110.0,2014-08-01,2015-04-17,2017-03-31,2018-04-17,Permit Closed,47.63596506,-122.32621259999999,"1903 YALE PL E
(47.63596506, -122.32621258)"
7777,6335178,109 12TH AVE E,"Construct new apartment building, per MuP #3012723 & occupy per plans.",MULTIFAMILY,NEW,1782468.0,2012-10-26,2013-05-03,2014-11-04,2014-11-03,Cert of Occupancy Authorized,47.61911369,-122.31718899999998,"109 12TH AVE E
(47.61911369, -122.31718898)"
8130,6162727,3922 SW ALASKA ST,"Construct Phase III of III of mixed use apartment building (structural & architectural completion this phase), and occupy per plan.",COMMERCIAL,NEW,29975811.0,2008-08-04,2013-09-19,2015-09-21,2016-09-19,Permit Closed,47.56122456,-122.38191599999999,"3922 SW ALASKA ST
(47.56122456, -122.381916)"
8133,6472745,301 NE NORTHGATE WAY,"Construction of parking garage to south of existing Northgate Mall, per plan.",COMMERCIAL,NEW,24269577.0,2015-07-27,2016-02-03,2017-03-17,2017-08-03,Permit Closed,47.70619241,-122.32587609999999,"301 NE NORTHGATE WAY
(47.70619241, -122.32587611)"
8170,6406689,1201 HARBOR AVE SW,"Establish use as rowhouses. Construct 4-unit multi-family structure and occupy, per plans.",MULTIFAMILY,NEW,1010329.0,2014-08-28,2015-05-23,2016-11-22,2016-11-23,Permit Closed,47.59298589,-122.38348149999999,"1201 HARBOR AVE SW
(47.59298589, -122.38348148)"
8474,6334368,4000 WALLA WALLA RD NE,"Construct a baseball stadium structure - this permit. Project also includes 4,110 cubic yards of grading, all per plan.",INSTITUTIONAL,NEW,3295239.0,2012-10-31,2013-07-12,2015-02-10,2016-07-12,Permit Closed,47.65502413,-122.29791850000001,"4000 WALLA WALLA RD NE
(47.65502413, -122.29791853)"
8574,6405584,6800 ROOSEVELT WAY NE,"Construct a new residential and retail building with below grade parking, and occupy per plan.",MULTIFAMILY,NEW,10151996.0,2015-05-26,2015-11-16,2017-06-07,2018-11-16,Permit Closed,47.67825665,-122.31690079999998,"6800 ROOSEVELT WAY NE
(47.67825665, -122.31690083)"
8578,6457861,1420 E HOWELL ST,"Construct a new 4-story apartment building (E Howell Apartment) occupy, per plan. No parking is required.",MULTIFAMILY,NEW,2818582.0,2015-04-01,2015-11-14,2018-02-26,2018-11-14,Permit Closed,47.61777564,-122.3132728,"1420 E HOWELL ST
(47.61777564, -122.31327276)"
8713,6426748,2359 FRANKLIN AVE E,"Construct a new residential building with below grade parking, and occupy per plan.",MULTIFAMILY,NEW,5148353.0,2014-08-08,2015-03-10,2017-08-17,2018-02-10,Cert of Occupancy Authorized,47.64144415,-122.3249605,"2359 FRANKLIN AVE E
(47.64144415, -122.3249605)"
8798,6291990,14307 GREENWOOD AVE N,"Establish use as and construct a mixed use building with parking garage, and occupy per plan.",COMMERCIAL,NEW,5818738.0,2013-03-19,2013-10-08,2015-08-28,2016-10-08,Permit Closed,47.732563899999995,-122.35590970000001,"14307 GREENWOOD AVE N
(47.7325639, -122.35590968)"
8887,6403730,1101 WESTLAKE AVE N,"Construction of an office building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,32048979.0,2014-02-25,2014-08-21,2016-04-11,2017-08-21,Permit Closed,47.62893599,-122.3414135,"1101 WESTLAKE AVE N
(47.62893599, -122.34141349)"
9181,6410710,419 NE 71ST ST,"Construct mixed use building with below grade parking, per plan.",MULTIFAMILY,NEW,18385437.0,2015-06-16,2015-12-11,2017-08-31,2018-12-11,Permit Closed,47.67985766,-122.3233612,"419 NE 71ST ST
(47.67985766, -122.32336123)"
9290,6268969,600 ELLIOTT AVE W,"Construct New 5 Story Mixed-Use residential Building with ground floor parking, occupy per plan.",MULTIFAMILY,NEW,13627890.0,2012-03-09,2014-12-18,2014-12-18,2016-06-18,Permit Closed,47.62490137,-122.3655399,"600 ELLIOTT AVE W
(47.62490137, -122.36553986)"
9635,6392644,4535 44TH AVE SW,"Establish use as and construct live/work (2 live work units) and apartment building, occupy per plan.",MULTIFAMILY,NEW,1880519.0,2013-12-28,2014-08-22,2016-02-19,2016-02-22,Permit Closed,47.56184103,-122.38836869999999,"4535 44TH AVE SW
(47.56184103, -122.38836872)"
9643,6282461,3800 RAINIER AVE S,Construct new fuel island and canopy for Safeway and occupy per plan.,COMMERCIAL,NEW,1099065.0,2012-09-28,2014-06-02,2016-03-23,2017-06-02,Cert of Occupancy Authorized,47.56965147,-122.29010430000001,"3800 RAINIER AVE S
(47.56965147, -122.29010427)"
9667,6367752,810 DEXTER AVE N,"Construction of a residential and retail building with below grade parking, and occupy per plans.",MULTIFAMILY,NEW,48246251.0,2013-12-12,2014-06-10,2016-05-26,2017-06-10,Permit Closed,47.62677806,-122.3417152,"810 DEXTER AVE N
(47.62677806, -122.34171523)"
9669,6347128,4567 11TH AVE NE,"Construct north multi-family residential structure and occupy, per plans. Construct 3 multi-family residential structuers (reviews and processing for 3 A/Ps under 6303152).",MULTIFAMILY,NEW,12054147.0,2012-12-24,2013-09-07,2015-07-16,2016-09-07,Permit Closed,47.66277096,-122.31673359999999,"4567 11TH AVE NE
(47.66277096, -122.31673356)"
9826,6450569,4519 18TH AVE NE,"Establish use as and construct a multi-family building, occupy per plans.",MULTIFAMILY,NEW,3000000.0,2015-03-02,2016-01-20,2017-09-12,2019-01-20,Cert of Occupancy Authorized,47.66183692,-122.30868329999998,"4519 18TH AVE NE
(47.66183692, -122.30868328)"
9896,6425246,1023 E ALDER ST,"Construction of an 8 story 85 unit residential building with below grade parking for 13 vehicles and occupy, per plan.",COMMERCIAL,NEW,6053467.0,2014-10-14,2015-06-15,2017-02-28,2017-06-15,Permit Closed,47.60420403,-122.3183261,"1023 E ALDER ST
(47.60420403, -122.31832613)"
9907,6284321,1812 BOREN AVE,"Construct a new residential and office building with ground floor retail and below grade parking, and occupy per plan.",COMMERCIAL,NEW,142981553.0,2014-12-28,2015-09-21,2017-12-08,2018-09-21,Permit Closed,47.61698493,-122.33196570000001,"1812 BOREN AVE
(47.61698493, -122.33196571)"
10118,6321397,4706 CALIFORNIA AVE SW,"Phased project: Construction of West mixed use building with underground parking and occupy, per plan (construction of two mixed use buildings with underground parking - see also 6321396).",COMMERCIAL,NEW,10259705.0,2012-06-18,2013-09-13,2015-11-18,2016-09-13,Permit Closed,47.56083821,-122.3864761,"4706 CALIFORNIA AVE SW
(47.56083821, -122.38647605)"
10221,6357936,2360 W COMMODORE WAY,"Construct minor marine repair and marine sales & service building and occupy, per plans.",COMMERCIAL,NEW,3258260.0,2013-05-21,2013-10-10,2014-12-08,2015-04-10,Permit Closed,47.66144483,-122.387245,"2360 W COMMODORE WAY
(47.66144483, -122.387245)"
10361,6354400,22 ETRURIA ST,"Establish use as (4) live-work, apartments and accessory parking and construct mixed use building with below grade parking, occupy per plan.",COMMERCIAL,NEW,12393074.0,2014-08-14,2015-05-21,2017-01-23,2018-05-21,Permit Closed,47.64804333,-122.3566887,"22 ETRURIA ST
(47.64804333, -122.3566887)"
10484,6471574,710 CHERRY ST,"Construct new office and residential apartment building, occupy per plan.",MULTIFAMILY,NEW,5523407.0,2015-11-17,2016-05-09,2017-10-02,2017-11-09,Permit Closed,47.60567954,-122.32734679999999,"710 CHERRY ST
(47.60567954, -122.32734681)"
10654,6340569,2021 7TH AVE,"Shoring and excavation for construction of office building and below grade parking, per plan",COMMERCIAL,NEW,13869001.0,2012-12-27,2013-05-24,2015-10-08,2016-05-24,Permit Closed,47.61523711,-122.33836399999998,"2021 7TH AVE
(47.61523711, -122.33836402)"
10781,6327888,2601 17TH AVE S,"Construction of east residential and retail building and occupy, per plan.",COMMERCIAL,NEW,8624394.0,2014-08-18,2015-03-19,2017-05-24,2016-09-19,Permit Closed,47.5797349,-122.3113805,"2601 17TH AVE S
(47.5797349, -122.31138047)"
10828,6320888,301 E PINE ST,"Construction of a residential and retail building with existing character structures incorporated and below grade parking, and occupy per plans.",COMMERCIAL,NEW,37996824.0,2013-07-16,2014-05-19,2017-03-29,2017-05-19,Permit Closed,47.61507396,-122.32759340000001,"301 E PINE ST
(47.61507396, -122.32759339)"
10829,6338691,1715 NW 58TH ST,Establish use as multifamily structure. Construct boarding house structure and occupy per plan.,MULTIFAMILY,NEW,1245069.0,2013-02-28,2013-09-17,2015-03-06,2015-03-17,Cert of Occupancy Authorized,47.67062562,-122.3794832,"1715 NW 58TH ST
(47.67062562, -122.37948321)"
10951,6270553,5343 TALLMAN AVE NW,"Phased project:  Construction of a residential and commercial building with below grade parking and occupy, per plan.  Includes 17 live work for a total of 303 useable living spaces.",COMMERCIAL,NEW,38615380.0,2012-09-24,2015-11-30,2015-12-02,2017-05-30,Permit Closed,47.66786255,-122.3811338,"5343 TALLMAN AVE NW
(47.66786255, -122.38113375)"
11189,6323430,1366 31ST AVE S,Phased project: Construction of a mixed-use retail and residential building with covered parking and occupy per plan.,MULTIFAMILY,NEW,2678538.0,2013-06-26,2013-10-22,2015-12-04,2015-04-22,Permit Closed,47.59055076,-122.2920699,"1366 31ST AVE S
(47.59055076, -122.29206992)"
11245,6410037,6105 ROOSEVELT WAY NE,"Establish use as office and congregate residence. construct mixed use commercial and residential structure, occupy per plans.",MULTIFAMILY,NEW,4502144.0,2014-08-06,2016-01-28,2017-10-10,2019-01-28,Permit Closed,47.67295718,-122.3177162,"6105 ROOSEVELT WAY NE
(47.67295718, -122.31771616)"
11881,6351824,1315 E JEFFERSON ST,"Construct mixed use retail and apartment building with basment garage and occupy, per plan.",COMMERCIAL,NEW,3197568.0,2014-01-30,2014-07-24,2016-08-16,2017-07-24,Permit Closed,47.60594155,-122.3147824,"1315 E JEFFERSON ST
(47.60594155, -122.31478243)"
12251,6223833,101 JOHN ST,Establish use as and construct mixed use building adjacent to existing apartment building and occupy per plans.,COMMERCIAL,NEW,3452437.0,2014-04-24,2015-02-24,2017-02-08,2018-02-24,Permit Closed,47.61946557,-122.3549321,"101 JOHN ST
(47.61946557, -122.35493212)"
12465,6391378,2939 S MOUNT BAKER BLVD,Establish and construct new 60 unit apartment building and occupy per plan.,MULTIFAMILY,NEW,1882935.0,2014-05-16,2014-11-18,2017-07-21,2017-11-18,Permit Closed,47.57564287,-122.2943662,"2939 S MOUNT BAKER BLVD
(47.57564287, -122.29436623)"
12511,6498620,4122 36TH AVE SW,"Establish use as and construct a multi-family building, occupy per plans.",MULTIFAMILY,NEW,1029686.0,2016-03-01,2016-10-24,2017-10-31,2018-04-24,Cert of Occupancy Authorized,47.56574477,-122.377096,"4122 36TH AVE SW
(47.56574477, -122.37709604)"
12776,6098854,1621 N 34TH ST,"Shoring and excavation for future construction of an administrative office building with below grade parking, per plan.",COMMERCIAL,NEW,2823000.0,2013-12-18,2014-08-18,2016-09-26,2016-02-18,Permit Finaled,47.64790943,-122.33815790000001,"1621 N 34TH ST
(47.64790943, -122.33815788)"
12831,6485563,1520 13TH AVE S,Establish use as and construct new 5-unit townhouse and occupy per plans.,MULTIFAMILY,NEW,1028920.0,2016-02-11,2016-08-24,2018-01-22,2018-02-24,Permit Closed,47.58929449,-122.31570990000002,"1520 13TH AVE S
(47.58929449, -122.31570993)"
