,b_id,b_latitude,b_longitude,col_before,col_during,col_after
649,6343656,47.62629031,-122.3226863,87,2,16
663,6336495,47.64584216,-122.3165665,16,20,88
678,6361975,47.53780414,-122.3677866,8,70,89
687,6485469,47.69463144,-122.3572328,38,73,58
688,6505628,47.5749723,-122.2935374,86,13,69
709,6403594,47.59290742,-122.2936367,72,65,90
711,6524880,47.66379932,-122.3546063,89,35,4
720,6464513,47.66124841,-122.3384325,39,8,38
734,6482009,47.54640271,-122.3215805,33,51,4
736,6401146,47.63209422,-122.3419139,28,26,71
737,6353173,47.68372065,-122.3021267,24,85,57
742,6410436,47.59641996,-122.3108963,6,1,94
747,6564181,47.69202568,-122.3136756,82,53,52
763,6466969,47.57791667,-122.4130716,91,58,80
773,6461320,47.67402392,-122.2637024,46,54,50
780,6405731,47.56127513,-122.3886209,45,47,62
783,6381334,47.66849758,-122.3318434,65,33,52
800,6361151,47.6756892,-122.3264576,6,87,51
814,6329942,47.62301247,-122.3233857,59,72,70
834,6563210,47.6347215,-122.3537377,4,97,92
848,6404113,47.62369467,-122.3362305,73,13,39
861,6306637,47.72320941,-122.310223,17,64,77
863,6541921,47.6639317,-122.3191355,31,30,79
888,6460141,47.56993461,-122.286955,50,38,62
889,6379399,47.69620779,-122.3274139,12,30,31
891,6369480,47.67137242,-122.2816833,4,78,64
892,6382031,47.72132576,-122.3028564,21,62,65
904,6503105,47.65617371,-122.3270407,91,9,94
905,6558900,47.59400017,-122.2970537,96,6,31
906,6348218,47.67482039,-122.3783336,99,78,66
921,6506246,47.56705041,-122.2958236,1,28,87
940,6514704,47.52517665,-122.3601928,60,97,27
955,6508039,47.6173806,-122.2894837,2,5,37
962,6438118,47.70977157,-122.307647,74,0,17
969,6560003,47.69292303,-122.295782,57,37,28
987,6390195,47.53471313,-122.3799757,70,63,51
989,6499465,47.62480201,-122.2996207,7,20,46
995,6327457,47.69041968,-122.3598097,81,36,25
997,6360032,47.67992488,-122.3652857,19,89,25
1011,6457977,47.62127489,-122.3576677,66,75,45
1035,6463807,47.67119118,-122.2788894,48,61,21
1041,6490679,47.66107313,-122.3156672,41,44,66
1045,6523543,47.54957088,-122.2622739,79,23,87
1051,6391859,47.5532492,-122.3306313,53,59,33
1055,6432233,47.54923524,-122.3096297,72,68,97
1084,6497453,47.69712757,-122.2971785,82,19,42
1088,6421393,47.66111615,-122.2746354,34,88,99
1093,6349532,47.53312502,-122.2790509,44,66,49
1097,6524192,47.54697101,-122.3193986,78,12,82
1124,6590377,47.69199175,-122.3051543,92,49,68
1130,6548724,47.6736876,-122.3893163,48,24,72
1146,6381833,47.67035441,-122.329134,13,24,60
1178,6352365,47.61364207,-122.2911243,90,31,5
1184,6388095,47.61963156,-122.3009548,83,80,10
1185,6367485,47.62107332,-122.335549,97,44,16
1227,6407657,47.5540511,-122.3210202,93,28,28
1229,6510513,47.65509437,-122.3271222,28,47,3
1237,6356289,47.68584875,-122.3225466,60,13,89
1239,6582765,47.64832592,-122.4103827,28,21,9
1244,6492055,47.65847573,-122.350603,91,64,44
1251,6570915,47.54014055,-122.3708252,13,96,68
1341,6474164,47.52318245,-122.3514774,54,75,12
1365,6481834,47.60247849,-122.3210096,84,40,22
1375,6511625,47.67570362,-122.3744025,86,93,88
1377,6547090,47.58584724,-122.3162541,45,10,93
1389,6573205,47.54561126,-122.3301378,34,49,79
1397,6422995,47.56858991,-122.3870674,47,31,38
1419,6521539,47.68138836,-122.3642646,12,84,77
1423,6362097,47.60843309,-122.3138527,85,12,12
1436,6559401,47.65856481,-122.3512544,19,9,87
1437,6383289,47.70500764,-122.3656012,44,63,81
1467,6355820,47.67584204,-122.3799393,49,87,67
1473,6441221,47.7052034,-122.3525205,26,48,28
1479,6453465,47.55354407,-122.303578,45,25,94
1488,6535470,47.58649214,-122.3117506,88,47,69
1510,6473304,47.58314008,-122.3072391,85,40,6
1529,6480609,47.69654922,-122.3750898,65,55,36
1562,6508443,47.53905557,-122.3715038,47,5,33
1575,6378947,47.66942729,-122.354905,1,76,48
1577,6398370,47.63667007,-122.3682553,27,78,59
1578,6570920,47.53973237,-122.3707778,56,34,92
1585,6394212,47.69354789,-122.3523199,50,31,1
1604,6486341,47.67476122,-122.3805858,19,69,65
1605,6393710,47.62366161,-122.2879805,87,76,6
1626,6485962,47.57028669,-122.301508,83,19,65
1652,6445167,47.62845761,-122.3634953,3,29,40
1667,6333953,47.64488548,-122.3748039,11,61,49
1676,6559241,47.54294049,-122.3225462,38,1,69
1694,6463268,47.54861201,-122.2933863,98,35,82
1699,6324819,47.70409824,-122.2884611,73,35,71
1731,6419325,47.51462118,-122.2690117,60,63,74
1739,6556996,47.57731767,-122.4123087,42,21,47
1754,6442660,47.6257543,-122.3250917,59,80,23
1789,6424682,47.64277302,-122.3906939,58,1,77
1798,6550345,47.62363862,-122.3070843,96,31,94
1800,6418675,47.60039409,-122.3059394,93,11,88
1809,6488058,47.67965178,-122.375962,40,4,1
1816,6366674,47.55024007,-122.2845401,65,76,71
1819,6399403,47.62304677,-122.3407984,91,1,20
1832,6532060,47.66514341,-122.285135,13,25,22
1891,6553270,47.57163277,-122.3740737,39,85,24
1927,6369620,47.62264265,-122.3394103,47,69,85
1932,6598669,47.5426607,-122.2776476,20,98,24
1940,6399049,47.57092113,-122.3145616,74,83,79
1957,6484451,47.64010043,-122.324398,72,36,82
1998,6530232,47.67253431,-122.3852084,16,65,11
2001,6390077,47.69164591,-122.3696303,55,29,17
2004,6514622,47.67035878,-122.3270965,54,99,30
2008,6444414,47.61141658,-122.3213695,39,84,16
2015,6420490,47.52476962,-122.2803359,76,12,46
2033,6323524,47.63135095,-122.2789116,51,11,71
2034,6456300,47.7324989,-122.3438107,56,11,85
2035,6397726,47.68778751,-122.277295,37,68,50
2046,6358025,47.56781113,-122.358834,12,4,34
2050,6459140,47.65483321,-122.3865671,33,37,50
2060,6353500,47.67490966,-122.392395,82,31,81
2072,6592956,47.69071409,-122.335367,37,94,99
2101,6337876,47.63679334,-122.3711414,24,50,63
2113,6549334,47.67675208,-122.3184871,72,5,75
2127,6511300,47.55893263,-122.3634696,39,42,57
2132,6505627,47.57508281,-122.2936343,2,50,36
2139,6549736,47.68209862,-122.3476441,26,28,89
2171,6355935,47.61336267,-122.3190838,52,26,35
2180,6357953,47.54372303,-122.3673479,34,30,93
2184,6389239,47.53198168,-122.3839986,58,35,75
2185,6608193,47.68328923,-122.2981801,31,62,75
2197,6545645,47.59681956,-122.3100536,63,38,19
2216,6570799,47.57567132,-122.4096645,44,69,13
2221,6612569,47.59503512,-122.299498,72,57,86
2224,6336180,47.66831327,-122.2612986,69,22,29
2263,6585337,47.61507622,-122.3052609,65,43,23
2264,6373481,47.60204123,-122.3104724,13,98,34
2272,6580857,47.6893068,-122.3456812,80,47,1
2283,6546477,47.69325915,-122.343686,89,72,28
2284,6381180,47.60417501,-122.3105623,59,46,53
2292,6419358,47.55495526,-122.3145101,8,17,62
2327,6391362,47.62339326,-122.2881182,42,22,4
2343,6473211,47.59867342,-122.3352065,68,93,92
2351,6329528,47.65419179,-122.3855582,44,86,22
2372,6539409,47.54946308,-122.3609692,36,15,4
2373,6550317,47.52001212,-122.3557302,75,93,84
2376,6460503,47.64578913,-122.315878,45,92,7
2390,6499075,47.61025028,-122.3060535,36,23,91
2397,6424498,47.67709338,-122.2920662,97,40,64
2404,6148655,47.6064785,-122.3313647,81,91,97
2417,6366037,47.69430997,-122.3776791,75,44,49
2424,6483989,47.54970747,-122.3089574,6,76,10
2439,6495161,47.71582458,-122.285006,92,56,34
2443,6507761,47.6833648,-122.3764918,99,81,34
2462,6355489,47.56082621,-122.3796587,15,76,83
2499,6461441,47.68650052,-122.3967516,22,13,25
2511,6535436,47.65318275,-122.3528022,27,51,62
2512,6351307,47.58528648,-122.314155,23,69,88
2517,6498513,47.68447567,-122.3252052,6,70,7
2523,6509339,47.71576854,-122.2847796,70,15,36
2533,6342717,47.60649933,-122.3399674,70,17,65
2546,6505000,47.65942743,-122.346492,22,42,79
2549,6489289,47.66973539,-122.399712,70,21,80
2553,6442499,47.67550541,-122.3863962,10,62,45
2559,6446725,47.67035485,-122.3664749,84,42,0
2573,6373029,47.51320824,-122.3770553,96,71,5
2574,6352828,47.61273006,-122.3028953,59,71,28
2581,6597285,47.57699328,-122.4125478,9,7,24
2586,6483791,47.55293981,-122.3874573,75,86,39
2605,6487952,47.62148685,-122.3270438,14,26,71
2610,6525740,47.58532107,-122.3985175,35,50,5
2614,6257754,47.71986382,-122.2929826,92,23,37
2618,6583694,47.56658387,-122.2965706,48,47,75
2620,6474553,47.67225985,-122.2659208,58,22,38
2622,6411761,47.66304784,-122.3497666,44,48,12
2639,6401305,47.69738108,-122.3031686,34,56,72
2641,6521562,47.66366962,-122.4026602,50,56,83
2643,6541606,47.63408356,-122.2848464,43,70,48
2649,6404041,47.63830483,-122.3646747,10,68,13
2662,6398050,47.67438525,-122.3818242,74,75,54
2663,6426184,47.5490954,-122.2750421,79,70,75
2664,6387395,47.56363524,-122.2916897,41,45,63
2671,6520608,47.64526635,-122.361194,43,79,57
2685,6556144,47.56228035,-122.3930716,40,84,72
2688,6424837,47.57798562,-122.4056889,62,13,83
2733,6424240,47.67828308,-122.3856145,11,51,39
2737,6309865,47.66503385,-122.312819,3,23,33
2744,6551496,47.56241816,-122.3822853,28,18,66
2751,6352584,47.51826396,-122.2871821,15,84,60
2758,6547484,47.68221197,-122.393839,86,34,44
2762,6415501,47.6505287,-122.3745712,45,33,37
2765,6553261,47.57151614,-122.3736443,13,20,13
2788,6430527,47.54630381,-122.3654703,74,41,86
2796,6352834,47.56849899,-122.3584764,78,53,18
2797,6414455,47.60180895,-122.297002,58,77,92
2805,6514895,47.57048358,-122.2867865,14,86,31
2816,6366043,47.63628517,-122.2891424,22,38,77
2828,6558042,47.69506924,-122.2877069,93,72,65
2835,6332903,47.69321735,-122.3541414,83,86,2
2846,6315085,47.60166252,-122.3376676,63,0,66
2847,6435808,47.54140194,-122.2657377,91,15,56
2851,6449851,47.5563594,-122.3610204,9,9,74
2853,6355953,47.56413354,-122.2918023,1,18,38
2870,6358860,47.51860427,-122.3880794,14,53,80
2886,6445991,47.56881722,-122.365913,43,47,63
2897,6559582,47.59683453,-122.3078106,73,88,98
2899,6590383,47.69085334,-122.3052586,65,27,54
2904,6432893,47.55125545,-122.3239642,50,97,94
2932,6500653,47.62339887,-122.3419288,35,19,65
2933,6377911,47.72959677,-122.3353037,22,80,86
2963,6468193,47.695245,-122.3739282,10,21,60
2972,6551549,47.67576302,-122.3545442,88,30,10
2980,6432382,47.59814527,-122.3147904,98,79,90
2991,6340787,47.53720672,-122.2690579,86,31,17
3000,6413686,47.68384852,-122.3465559,2,37,43
3001,6484192,47.54808176,-122.3562381,33,60,70
3011,6384592,47.56939217,-122.2948706,71,3,31
3027,6359476,47.6593204,-122.3941266,10,78,98
3064,6406703,47.63578344,-122.3714441,50,84,58
3066,6572661,47.65118094,-122.3462887,33,31,82
3071,6495195,47.67327757,-122.3837327,81,21,63
3072,6459262,47.62192794,-122.3576693,2,54,91
3090,6492051,47.65847044,-122.3507979,57,28,36
3097,6487809,47.51331351,-122.3778292,96,46,80
3099,6342027,47.66407168,-122.3062553,82,78,13
3118,6353027,47.63770274,-122.3237558,47,80,6
3123,6423734,47.61457019,-122.3340078,85,28,32
3128,6475586,47.68386165,-122.3455811,65,31,45
3129,6404259,47.54700382,-122.3530885,83,51,16
3134,6467951,47.6911393,-122.371215,21,31,8
3139,6585128,47.67314953,-122.2706544,25,52,96
3152,6346503,47.67132529,-122.2866103,14,7,56
3161,6580811,47.59288067,-122.3020606,53,33,43
3183,6485509,47.57371784,-122.3091716,77,77,98
3186,6423512,47.69224664,-122.3689789,2,70,90
3189,6565874,47.56186488,-122.3825313,16,66,5
3192,6460375,47.66624076,-122.3679357,84,32,63
3196,6423039,47.60337227,-122.3124101,1,58,22
3203,6566325,47.57024504,-122.3600284,20,56,78
3206,6573211,47.60338544,-122.3099113,88,55,25
3225,6539884,47.56193976,-122.3979813,64,4,90
3250,6585135,47.67295664,-122.2707854,48,69,50
3271,6412407,47.67849569,-122.3763486,2,49,83
3274,6372508,47.61834052,-122.3091734,28,60,30
3322,6365215,47.63321755,-122.3965888,60,34,35
3328,6456369,47.60220629,-122.3110328,87,10,54
3331,6440461,47.57918927,-122.3149569,85,26,43
3350,6415156,47.54975322,-122.2576911,97,40,23
3363,6582132,47.69002732,-122.2918373,92,98,41
3364,6549598,47.65931526,-122.3211102,15,2,68
3366,6568255,47.66516568,-122.2807214,81,18,76
3371,6466232,47.61692645,-122.3137723,57,2,91
3384,6399261,47.68965191,-122.3512301,99,99,80
3398,6547293,47.55168589,-122.3971866,12,17,3
3399,6325057,47.54578216,-122.301217,31,99,5
3409,6523925,47.67544249,-122.2753169,53,7,9
3416,6386150,47.67606032,-122.3053851,41,21,69
3427,6449355,47.56635442,-122.3635757,93,6,3
3433,6406697,47.60641433,-122.2939584,65,16,86
3443,6353308,47.64181604,-122.3266212,27,31,43
3453,6577018,47.57606898,-122.4103704,79,88,35
3469,6572706,47.55379752,-122.3076639,42,66,3
3474,6349296,47.69030449,-122.378759,49,10,33
3497,6372434,47.57070622,-122.3301196,14,41,87
3511,6553268,47.57183625,-122.3744176,22,90,55
3526,6364088,47.5529176,-122.2930322,29,16,69
3531,6405217,47.57847686,-122.3030689,18,10,94
3547,6400856,47.58095786,-122.402442,82,18,57
3552,6437654,47.6187636,-122.3065643,18,44,32
3566,6477664,47.56120775,-122.2679599,94,85,56
3567,6338150,47.62615808,-122.3513117,14,25,62
3572,6367770,47.65319834,-122.3476632,11,93,56
3600,6390510,47.67571787,-122.3783106,42,66,6
3625,6402187,47.57634185,-122.4125554,10,85,13
3632,6373764,47.71682638,-122.3688881,90,70,61
3654,6596103,47.57065349,-122.3600277,9,45,88
3662,6523926,47.54388061,-122.2784023,10,90,87
3666,6511740,47.64331716,-122.3912615,92,86,87
3670,6473480,47.67184442,-122.3775121,8,37,67
3671,6571895,47.6161272,-122.2910113,43,49,87
3679,6396553,47.5696569,-122.3872119,90,21,20
3685,6471339,47.5589371,-122.363229,3,7,39
3688,6508086,47.65319232,-122.3561658,11,28,97
3689,6444383,47.65940811,-122.35076,42,43,83
3692,6444044,47.67396982,-122.3923552,75,55,90
3697,6495538,47.67885585,-122.3755958,20,37,89
3709,6381341,47.5256299,-122.3588566,5,82,48
3710,6466030,47.63461584,-122.3198296,80,87,18
3711,6395845,47.64921946,-122.4076571,62,21,38
3713,6416376,47.61705135,-122.2969153,46,76,67
3719,6358269,47.62637298,-122.3365873,66,66,53
3725,6386484,47.70239152,-122.3522047,78,39,20
3735,6322593,47.54902777,-122.3076754,21,3,2
3736,6344979,47.69617839,-122.2871338,24,20,61
3756,6582049,47.54884929,-122.3053769,32,14,69
3762,6343299,47.57429678,-122.3093695,99,97,3
3778,6400315,47.56599696,-122.3637735,95,24,66
3795,6534447,47.6778653,-122.3177326,51,66,32
3802,6375062,47.53828456,-122.3892336,76,4,45
3808,6407204,47.7182324,-122.3653332,42,71,98
3809,6524354,47.7329444,-122.3426582,92,60,85
3817,6552608,47.6953508,-122.3878427,71,15,39
3822,6513243,47.67434254,-122.3904597,36,68,74
3826,6405410,47.66601132,-122.3772692,94,85,94
3831,6404127,47.66662948,-122.296517,71,19,24
3833,6369916,47.63204687,-122.3601297,58,28,21
3877,6532180,47.6696484,-122.3791989,74,87,66
3920,6482200,47.64601258,-122.3844076,28,50,91
3922,6355731,47.69434116,-122.3780304,7,85,59
3926,6358552,47.53472969,-122.3742607,46,48,23
3933,6457754,47.67437916,-122.3793211,62,11,81
3960,6477677,47.56146363,-122.2677882,97,20,4
3965,6488880,47.55715754,-122.3122394,51,22,21
3968,6390033,47.69944844,-122.2903471,81,27,88
3970,6599266,47.68065222,-122.3013763,57,68,60
3982,6355352,47.71167519,-122.3328413,93,52,0
3987,6570481,47.66876206,-122.2647496,66,44,76
3999,6575206,47.55324776,-122.2820519,96,86,31
4009,6440915,47.70392679,-122.3479378,30,81,85
4021,6451336,47.56998832,-122.3588219,35,38,87
4028,6493117,47.65006193,-122.3745264,26,99,53
4037,6440840,47.62065327,-122.2996492,28,69,0
4047,6368370,47.58867834,-122.2896394,29,35,47
4063,6482726,47.61889103,-122.3050767,29,69,39
4071,6423977,47.61939448,-122.297074,72,60,86
4075,6329507,47.58724666,-122.3122678,33,9,83
4077,6503988,47.66006059,-122.4006743,89,93,99
4083,6481966,47.56094576,-122.2803815,22,83,29
4095,6530269,47.58888973,-122.3102822,34,21,81
4106,6356454,47.62855663,-122.2996083,76,81,62
4107,6471110,47.68353305,-122.304665,13,12,17
4113,6320623,47.66758083,-122.3752714,32,42,48
4117,6353262,47.69207653,-122.3776726,50,76,48
4131,6501463,47.68275676,-122.285419,8,29,39
4133,6468986,47.66919932,-122.3791147,76,66,15
4145,6370073,47.52096063,-122.2879176,77,66,85
4153,6470097,47.70359616,-122.3278326,79,25,65
4166,6421747,47.55333949,-122.3954096,69,47,21
4189,6445466,47.60379161,-122.3108861,93,42,14
4196,6440064,47.61879678,-122.3375479,99,30,22
4221,6424483,47.60039583,-122.3324886,41,39,66
4235,6531146,47.55725907,-122.2829603,60,56,66
4241,6454048,47.61950007,-122.3314226,98,1,20
4253,6475928,47.58354963,-122.3143972,27,20,50
4256,6338392,47.66366765,-122.3145098,16,39,6
4266,6621059,47.56571392,-122.3640401,39,99,26
4280,6459876,47.67275375,-122.2988589,88,70,87
4297,6446933,47.56204949,-122.3877715,61,18,46
4301,6305188,47.67040625,-122.3827844,46,19,14
4322,6371318,47.65443764,-122.3733632,91,3,58
4326,6393015,47.60554436,-122.3046711,41,53,41
4329,6463288,47.66932637,-122.2672282,12,53,14
4334,6374260,47.53574032,-122.3442224,55,14,50
4336,6254208,47.62345613,-122.3340971,65,21,4
4343,6392445,47.54709829,-122.2984624,11,35,10
4346,6489743,47.53525634,-122.3436687,65,66,62
4352,6545919,47.70741682,-122.2787074,87,76,5
4366,6523912,47.68973382,-122.3329545,91,28,48
4401,6568671,47.68721273,-122.377091,37,90,47
4424,6356088,47.58052251,-122.4045124,20,72,34
4437,6550341,47.52798206,-122.2660184,83,86,55
4440,6442274,47.69420524,-122.3771011,21,12,82
4446,6571846,47.61254695,-122.3110048,9,3,68
4472,6393079,47.54392582,-122.3882073,15,79,13
4478,6451837,47.6640523,-122.303886,48,16,0
4527,6430221,47.54869485,-122.380137,42,23,75
4558,6571741,47.59857109,-122.2979977,95,35,15
4643,6321433,47.63925236,-122.3864022,37,81,90
4654,6472029,47.60669167,-122.3370109,86,85,25
4655,6555918,47.64214431,-122.3187179,26,12,50
4667,6400565,47.62681123,-122.3512428,58,30,67
4688,6403361,47.58399889,-122.2947785,82,0,33
4703,6536009,47.54825954,-122.2876438,36,11,65
4704,6575714,47.65895242,-122.3175098,75,67,28
4719,6337152,47.55257901,-122.3802058,56,46,43
4723,6557052,47.68626578,-122.293614,92,81,97
4739,6359740,47.51718765,-122.3973189,59,34,38
4763,6357411,47.67647419,-122.3197169,80,0,78
4807,6442993,47.60280612,-122.2855199,58,57,54
4816,6376461,47.72206538,-122.3526651,61,2,55
4823,6476427,47.54397096,-122.3756035,82,33,49
4879,6453368,47.64991394,-122.3745245,9,10,57
4886,6457450,47.71876765,-122.3531836,6,65,83
4889,6369367,47.6634884,-122.3161243,56,99,91
4906,6443916,47.62267378,-122.3604167,3,77,65
4913,6416569,47.67667165,-122.292781,91,33,97
4920,6450206,47.51140495,-122.2435932,44,57,87
4936,6483772,47.58801142,-122.2871401,32,55,99
4978,6373279,47.67050942,-122.2838568,63,80,22
4981,6513045,47.70364069,-122.2780944,3,54,58
4987,6537916,47.67469331,-122.3546734,86,2,53
4997,6465096,47.6461169,-122.3572911,62,96,42
5001,6605518,47.69655384,-122.3697298,54,3,64
5006,6529623,47.58789468,-122.303585,57,33,31
5015,6501890,47.68370668,-122.3026698,43,58,88
5045,6490006,47.5706181,-122.3598615,23,80,56
5051,6462536,47.56036315,-122.3968273,63,21,65
5066,6553264,47.57133046,-122.3740516,57,27,49
5070,6470787,47.5857601,-122.3020156,86,69,96
5073,6367612,47.68996929,-122.3265472,67,42,92
5081,6479954,47.68526509,-122.3289845,80,32,69
5082,6565414,47.5704811,-122.3597871,40,75,17
5090,6449349,47.65159072,-122.3718013,96,40,58
5103,6378222,47.72983876,-122.3348675,3,58,42
5117,6491702,47.63822037,-122.2799412,72,94,45
5127,6432798,47.71938142,-122.2856091,56,92,25
5130,6451828,47.68328245,-122.3948889,58,63,70
5167,6528452,47.52042474,-122.3239171,27,28,9
5169,6511382,47.70856596,-122.3520417,60,1,18
5173,6511955,47.66422231,-122.3116623,48,74,84
5176,6393438,47.6205197,-122.2980577,86,89,40
5180,6483858,47.56633198,-122.3705036,74,26,48
5186,6460293,47.66955167,-122.269303,65,38,66
5191,6460788,47.68108615,-122.324577,47,21,12
5204,6352017,47.70200786,-122.3537462,81,60,25
5205,6461397,47.56040926,-122.2652084,15,24,0
5222,6426407,47.54465074,-122.3189447,70,58,18
5224,6520611,47.64556998,-122.3614254,75,68,63
5228,6372203,47.54696422,-122.3957718,63,76,32
5239,6534202,47.68382369,-122.3573472,77,31,9
5243,6361966,47.53850433,-122.3666008,16,78,36
5251,6357342,47.62357373,-122.2974685,0,49,77
5256,6351879,47.51676391,-122.3785101,46,48,73
5257,6387319,47.54615153,-122.2806693,76,82,88
5265,6366026,47.55220218,-122.3820898,40,21,22
5268,6522703,47.54868582,-122.2877952,77,13,59
5275,6513178,47.57640369,-122.3810781,7,92,1
5282,6371868,47.6184506,-122.3547689,70,74,95
5284,6510902,47.53492571,-122.3520064,52,13,89
5289,6369453,47.57900951,-122.3889113,56,10,81
5292,6467548,47.65354763,-122.3441788,87,42,99
5356,6407533,47.67655908,-122.3254941,83,30,41
5412,6336739,47.61445461,-122.3241936,14,46,52
5437,6574591,47.63940653,-122.3198184,49,31,0
5496,6538399,47.68214391,-122.352811,55,21,78
5497,6415326,47.65826111,-122.2712061,14,39,38
5505,6426089,47.66559473,-122.4063361,19,38,96
5520,6517058,47.56892835,-122.4071469,98,56,56
5527,6460930,47.53562817,-122.2684522,96,59,32
5540,6385715,47.58598777,-122.3834259,11,65,52
5542,6587906,47.66915168,-122.3621786,90,38,50
5552,6501762,47.58582258,-122.3136949,76,34,61
5555,6515184,47.59276383,-122.3023124,57,18,28
5560,6367615,47.71176686,-122.3615137,23,50,99
5585,6415938,47.67485973,-122.3781501,62,75,8
5637,6511705,47.60642739,-122.3230445,22,22,60
5650,6557651,47.59608631,-122.3114199,44,83,76
5682,6495210,47.52665584,-122.3258602,74,84,10
5694,6461000,47.66964572,-122.3318548,69,32,58
5697,6409154,47.68455927,-122.3589861,30,85,75
5711,6469086,47.55836193,-122.3618926,9,27,14
5714,6510989,47.61227892,-122.3175201,53,76,19
5720,6367535,47.72188207,-122.3111715,91,61,33
5736,6409238,47.54592919,-122.3628441,46,57,60
5737,6383001,47.67351703,-122.3986233,43,2,45
5756,6387897,47.63659785,-122.368524,28,80,14
5759,6578112,47.55371797,-122.3875868,74,12,8
5761,6283699,47.61803417,-122.3064224,21,66,88
5772,6371867,47.51675078,-122.3716386,81,69,49
5773,6491637,47.68900024,-122.3436418,88,65,44
5784,6401813,47.52631559,-122.3220979,93,37,0
5804,6512565,47.56242649,-122.3847063,36,93,50
5809,6384008,47.579706,-122.3101908,50,65,25
5843,6483864,47.64596131,-122.3630087,4,3,47
5851,6377486,47.54320593,-122.2980668,10,5,58
5869,6449847,47.55658421,-122.3610097,84,18,43
5887,6380089,47.60253804,-122.3032132,59,37,59
5907,6373578,47.63757229,-122.2840697,88,60,19
5934,6463073,47.70079706,-122.3206548,78,83,25
5958,6417575,47.59629564,-122.3092609,32,4,40
5974,6471434,47.62488719,-122.3347023,46,63,57
5982,6501752,47.63874172,-122.3693703,71,15,72
5983,6522130,47.6131846,-122.2955313,70,27,2
6007,6319075,47.61933063,-122.3218517,86,10,29
6008,6396844,47.64593865,-122.3626895,15,23,41
6010,6506253,47.56708134,-122.2966778,86,87,7
6013,6347084,47.58183469,-122.4022306,1,28,67
6024,6374511,47.55954476,-122.2895376,54,78,76
6029,6345681,47.61818491,-122.3056207,13,13,51
6052,6489404,47.6939539,-122.3542616,83,66,95
6059,6446470,47.67506349,-122.3786149,33,12,51
6072,6491706,47.62979891,-122.3199643,10,8,11
6080,6393617,47.65373096,-122.3515318,86,29,96
6081,6420492,47.52459563,-122.2807126,80,81,93
6099,6420496,47.52463306,-122.2801586,62,80,22
6107,6419979,47.66113035,-122.3459842,70,63,3
6109,6543763,47.68237442,-122.2734194,76,58,29
6112,6401099,47.57894918,-122.3041218,19,94,94
6138,6372751,47.58643115,-122.3844467,77,31,28
6140,6466102,47.53229504,-122.3462323,17,13,99
6157,6365502,47.61428571,-122.3505719,14,31,60
6158,6503299,47.62246248,-122.3039152,29,39,19
6161,6419345,47.5145305,-122.269689,71,72,67
6162,6368993,47.54377564,-122.3564635,42,1,93
6184,6420112,47.55744885,-122.3604054,2,11,32
6195,6394770,47.61003307,-122.3143846,87,95,10
6201,6440374,47.64813914,-122.4076512,4,22,1
6223,6479474,47.67786592,-122.3840671,26,78,5
6228,6438851,47.55025768,-122.2744607,32,99,12
6230,6424049,47.620805,-122.3027163,16,27,76
